Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Arron Afflalo,26.0,DEN,Wing,2077,47,17.8%,95,118.6,57,11.5%,59,0.65,68,10.3%
Solomon Alabi,23.6,TOR,Big,105,43,15.0%,2,78.1,2,1.6%,1,0.11,93,9.0%
LaMarcus Aldridge,26.3,POR,Big,1987,97,25.7%,77,112.3,91,12.7%,65,0.50,88,9.9%
Lavoy Allen,22.7,PHI,Big,569,35,13.8%,28,98.1,71,8.7%,84,0.63,73,12.2%
Ray Allen,36.3,BOS,Wing,1558,41,17.1%,97,124.4,58,11.6%,65,0.67,45,12.2%
Tony Allen,29.8,MEM,Wing,1523,47,17.7%,70,107.8,36,8.3%,28,0.47,9,15.7%
Al-Farouq Aminu,21.1,NOP,Forward,1436,42,15.9%,27,95.3,33,7.5%,46,0.47,4,18.3%
Lou Amundson,28.9,IND,Big,650,42,14.8%,9,86.5,18,3.5%,16,0.23,31,16.8%
Chris Andersen,33.3,DEN,Big,481,30,13.4%,78,113.1,4,1.9%,4,0.14,82,11.0%
Alan Anderson,29.0,TOR,Wing,450,57,18.8%,61,104.5,47,10.0%,41,0.53,22,13.8%
James Anderson,22.6,SAS,Wing,512,39,16.4%,26,98.2,41,8.7%,41,0.53,18,14.1%
Ryan Anderson,23.5,ORL,Big,1956,70,18.5%,89,118.4,29,4.7%,22,0.25,96,7.2%
Carmelo Anthony,27.4,NYK,Forward,1871,98,31.9%,58,106.0,94,20.9%,75,0.66,75,10.8%
Joel Anthony,29.2,MIA,Big,1342,1,7.1%,88,117.7,1,0.9%,2,0.13,13,21.8%
Gilbert Arenas,29.8,MEM,Point,210,13,17.5%,67,105.9,2,13.8%,6,0.79,56,14.8%
Trevor Ariza,26.3,NOP,Wing,1346,58,18.9%,29,99.1,84,16.4%,88,0.87,16,14.1%
Omer Asik,25.3,CHI,Big,874,20,12.2%,26,97.7,37,5.4%,60,0.44,4,26.9%
D.J. Augustin,24.0,CHA,Point,1404,64,24.6%,45,99.0,81,37.0%,81,1.50,61,14.6%
Gustavo Ayon,26.6,NOP,Big,1042,34,13.7%,74,110.8,81,10.6%,91,0.77,43,15.2%
Luke Babbitt,22.4,POR,Forward,468,35,15.4%,73,111.0,19,4.8%,13,0.31,73,10.8%
Leandro Barbosa,28.9,IND,Wing,413,82,22.2%,34,100.0,79,14.7%,62,0.67,72,10.2%
Leandro Barbosa,28.9,TOR,Combo,925,78,25.1%,64,105.3,13,12.9%,7,0.51,67,12.5%
J.J. Barea,27.3,MIN,Point,1022,84,28.3%,52,101.5,89,39.7%,69,1.40,44,15.7%
Andrea Bargnani,26.0,TOR,Forward,1030,92,27.2%,71,108.3,63,11.2%,35,0.41,63,11.7%
Matt Barnes,31.6,LAL,Wing,1429,34,16.1%,79,111.3,70,13.4%,82,0.84,19,13.9%
Brandon Bass,26.5,BOS,Big,1850,61,17.5%,43,104.3,31,4.9%,25,0.28,90,9.6%
Tony Battie,35.7,PHI,Big,286,3,9.1%,3,78.4,65,7.7%,93,0.84,96,7.3%
Shane Battier,33.1,MIA,Wing,1451,5,10.7%,30,99.3,33,8.1%,72,0.76,61,11.1%
Nicolas Batum,22.9,POR,Wing,1747,56,18.8%,91,115.9,28,7.8%,19,0.41,39,12.6%
Jerryd Bayless,23.2,TOR,Combo,684,87,27.1%,87,111.8,89,30.4%,78,1.12,58,13.1%
Michael Beasley,22.8,MIN,Forward,1043,83,23.8%,42,100.2,35,7.5%,15,0.32,25,14.0%
Rodrigue Beaubois,23.7,DAL,Combo,1069,67,23.8%,42,102.3,60,21.6%,47,0.91,80,11.6%
Marco Belinelli,25.6,NOP,Combo,1944,16,17.8%,67,106.0,2,8.8%,4,0.49,96,9.5%
Raja Bell,35.1,UTA,Wing,794,6,10.8%,96,118.8,20,6.9%,59,0.64,59,11.4%
Mike Bibby,33.5,NYK,Point,522,2,14.7%,11,82.6,23,22.8%,86,1.55,88,12.3%
Andris Biedrins,25.6,GSW,Big,737,0,4.8%,86,116.2,12,2.9%,83,0.61,24,18.7%
Chauncey Billups,35.1,LAC,Combo,605,71,24.1%,91,112.4,56,21.0%,44,0.87,76,11.9%
Bismack Biyombo,19.2,CHA,Big,1377,18,11.9%,27,97.8,11,2.9%,17,0.24,22,18.9%
DeJuan Blair,22.5,SAS,Big,1319,73,19.1%,66,109.4,73,8.9%,62,0.47,37,15.7%
Steve Blake,31.7,LAL,Point,1234,3,14.9%,53,101.8,19,21.6%,73,1.45,25,18.2%
Andray Blatche,25.2,WAS,Big,623,82,21.2%,6,82.8,64,7.6%,43,0.36,70,12.6%
Eric Bledsoe,21.9,LAC,Combo,431,42,21.9%,27,94.2,64,21.9%,60,1.00,4,20.2%
Andrew Bogut,26.9,MIL,Big,363,83,21.3%,19,93.8,95,14.8%,87,0.69,48,14.4%
Matt Bonner,31.6,SAS,Big,1299,17,11.9%,88,118.1,51,6.5%,73,0.54,100,4.2%
Trevor Booker,23.9,WAS,Big,1243,40,14.5%,71,110.4,30,4.7%,35,0.33,52,14.1%
Carlos Boozer,29.9,CHI,Big,1946,84,21.5%,66,109.5,83,11.2%,69,0.52,70,12.5%
Chris Bosh,27.6,MIA,Big,1977,88,22.5%,73,110.8,72,8.8%,49,0.39,73,12.2%
Earl Boykins,35.4,HOU,Point,110,53,23.3%,22,90.2,41,27.4%,34,1.18,80,13.0%
Avery Bradley,20.9,BOS,Combo,1300,13,17.1%,82,110.2,7,10.4%,11,0.61,38,15.4%
Elton Brand,32.6,PHI,Big,1728,60,17.5%,45,104.6,74,9.2%,70,0.52,88,10.3%
Corey Brewer,25.7,DEN,Wing,1245,52,18.3%,45,102.0,49,10.2%,43,0.56,69,10.3%
Ronnie Brewer,26.6,CHI,Wing,1585,24,15.1%,16,93.3,63,12.5%,81,0.83,63,11.1%
Jon Brockman,24.6,MIL,Big,169,21,12.3%,0,56.8,44,6.0%,65,0.49,24,18.8%
MarShon Brooks,22.8,BKN,Wing,1611,84,23.2%,42,101.9,76,14.6%,53,0.63,17,14.1%
Derrick Brown,24.1,CHA,Forward,1292,31,15.1%,79,111.4,48,8.6%,58,0.57,65,11.5%
Kwame Brown,29.6,GSW,Big,186,46,15.5%,37,101.8,15,3.4%,13,0.22,12,21.9%
Shannon Brown,25.9,PHX,Wing,1309,75,21.1%,47,102.6,39,8.4%,17,0.40,84,9.4%
Kobe Bryant,33.2,LAL,Wing,2228,100,35.2%,68,106.8,96,23.7%,63,0.67,51,11.8%
Chase Budinger,23.4,HOU,Wing,1268,43,17.5%,87,112.2,44,9.2%,40,0.53,71,10.2%
Alec Burks,20.3,UTA,Wing,884,70,20.2%,48,103.0,47,10.0%,34,0.50,53,11.8%
Caron Butler,31.6,LAC,Wing,1866,55,18.7%,38,100.5,16,6.5%,9,0.35,73,10.1%
Jimmy Butler,22.1,CHI,Wing,269,19,14.2%,67,106.5,19,6.8%,30,0.48,49,11.8%
Rasual Butler,32.4,TOR,Wing,439,25,15.2%,3,79.3,26,7.6%,35,0.50,79,9.9%
Andrew Bynum,24.0,LAL,Big,2109,83,21.4%,90,118.9,60,7.3%,38,0.34,42,15.3%
Will Bynum,28.8,DET,Point,450,78,26.2%,28,92.0,28,23.8%,13,0.91,23,18.6%
Jose Calderon,30.1,TOR,Point,1789,31,21.1%,86,111.7,95,42.9%,100,2.04,78,13.1%
Marcus Camby,37.6,HOU,Big,458,39,14.4%,30,98.5,80,10.4%,88,0.72,98,6.9%
Marcus Camby,37.6,POR,Big,891,23,12.4%,8,85.9,84,11.8%,96,0.95,17,19.5%
Brian Cardinal,34.5,DAL,Forward,213,8,12.1%,0,66.7,73,11.5%,94,0.95,46,12.7%
DeMarre Carroll,25.3,UTA,Wing,318,28,15.4%,6,86.4,22,7.0%,26,0.45,93,8.4%
Matt Carroll,31.2,CHA,Wing,455,22,15.1%,2,77.8,50,10.4%,68,0.69,25,13.7%
Anthony Carter,36.4,TOR,Point,187,17,19.3%,14,87.8,55,29.5%,83,1.53,16,19.7%
Vince Carter,34.8,DAL,Wing,1507,77,21.4%,47,102.9,74,14.5%,66,0.68,44,12.2%
Omri Casspi,23.4,CLE,Forward,1261,46,16.5%,33,97.4,50,8.6%,52,0.52,48,12.6%
Mario Chalmers,25.5,MIA,Point,1795,14,18.2%,95,116.8,5,18.0%,20,0.99,19,19.4%
Tyson Chandler,29.1,NYK,Big,2055,14,11.6%,100,140.1,27,4.4%,47,0.38,20,19.0%
Wilson Chandler,24.5,DEN,Forward,210,81,21.5%,17,88.8,65,11.3%,54,0.53,8,17.6%
Josh Childress,28.4,PHX,Wing,443,2,10.3%,34,100.0,48,10.1%,94,0.98,95,8.0%
Earl Clark,23.8,ORL,Big,499,37,14.3%,7,84.1,48,6.3%,57,0.44,59,13.5%
Norris Cole,23.0,MIA,Point,1143,50,22.6%,16,87.8,3,17.0%,3,0.75,36,16.3%
Jason Collins,32.9,ATL,Big,265,2,8.1%,16,92.3,40,5.6%,86,0.68,33,16.1%
Darren Collison,24.2,IND,Point,1870,19,19.5%,69,106.3,30,23.9%,39,1.23,66,14.2%
Nick Collison,31.0,OKC,Big,1249,8,10.3%,97,125.5,76,9.3%,95,0.90,15,21.4%
Mike Conley,24.1,MEM,Point,2167,39,21.6%,66,105.6,52,28.8%,59,1.34,89,12.2%
Brian Cook,30.9,WAS,Big,124,53,16.4%,33,100.0,73,9.1%,76,0.55,58,13.6%
Daequan Cook,24.5,OKC,Wing,917,10,12.8%,60,104.3,0,2.3%,1,0.18,97,5.5%
DeMarcus Cousins,21.2,SAC,Big,1922,99,27.8%,32,99.5,75,9.2%,36,0.33,62,13.2%
Jamal Crawford,31.6,POR,Combo,1580,84,27.0%,58,104.4,53,20.9%,29,0.77,82,11.5%
Jordan Crawford,23.0,WAS,Wing,1713,98,28.3%,31,99.5,88,18.8%,61,0.66,41,12.5%
Dante Cunningham,24.5,MEM,Big,1080,25,12.6%,57,107.3,40,5.6%,59,0.44,92,9.4%
Stephen Curry,23.6,GSW,Point,728,72,25.3%,98,121.2,53,29.5%,31,1.17,42,15.9%
Samuel Dalembert,31.5,HOU,Big,1432,45,15.4%,62,108.7,19,3.6%,16,0.24,32,16.7%
Marquis Daniels,30.8,BOS,Wing,440,54,18.6%,3,82.5,81,15.6%,83,0.84,9,15.5%
Baron Davis,32.6,NYK,Point,584,70,25.3%,25,91.1,77,35.0%,67,1.38,8,23.4%
Ed Davis,22.4,TOR,Big,1459,27,12.7%,57,107.5,57,6.9%,75,0.55,39,15.5%
Glen Davis,25.8,ORL,Big,1395,81,21.1%,18,93.4,48,6.2%,28,0.30,72,12.2%
Austin Daye,23.4,DET,Wing,494,76,21.3%,1,74.1,42,8.8%,21,0.41,29,13.5%
DeMar DeRozan,22.2,TOR,Wing,2180,89,24.1%,36,100.5,52,10.5%,22,0.43,65,10.9%
Carlos Delfino,29.2,MIL,Wing,1517,29,15.6%,54,103.7,61,11.9%,73,0.76,53,11.8%
Luol Deng,26.5,CHI,Wing,2114,61,19.1%,33,99.8,59,11.7%,51,0.61,67,10.3%
Boris Diaw,29.5,CHA,Forward,1007,63,19.1%,21,92.5,98,26.6%,100,1.39,2,20.0%
Boris Diaw,29.5,SAS,Big,366,19,12.0%,98,128.4,94,14.3%,98,1.19,6,24.7%
DeSagana Diop,29.8,CHA,Big,300,6,9.7%,1,69.0,90,12.4%,99,1.29,2,27.5%
Keyon Dooling,31.5,BOS,Combo,629,7,16.4%,62,105.3,11,12.8%,31,0.78,33,15.9%
Toney Douglas,25.6,NYK,Combo,617,80,25.3%,7,79.1,49,20.4%,40,0.81,44,15.1%
Goran Dragic,25.5,HOU,Combo,1707,82,25.6%,89,112.4,91,31.8%,87,1.24,29,16.1%
Jared Dudley,26.3,PHX,Wing,2009,34,16.0%,91,116.2,34,8.2%,36,0.51,72,10.1%
Chris Duhon,29.2,ORL,Point,1199,0,13.6%,84,111.3,14,20.9%,84,1.53,5,24.0%
Tim Duncan,35.5,SAS,Big,1630,95,25.1%,51,106.4,93,13.7%,74,0.55,83,10.9%
Mike Dunleavy,31.1,MIL,Wing,1403,45,17.7%,97,120.3,66,12.8%,71,0.72,75,10.1%
Kevin Durant,23.1,OKC,Forward,2535,96,29.8%,96,123.3,92,17.0%,60,0.57,23,14.4%
Jerome Dyson,24.5,NOP,Point,178,66,24.7%,59,104.7,8,20.2%,8,0.82,11,22.1%
Devin Ebanks,22.0,LAL,Wing,377,11,12.8%,19,94.9,8,4.5%,10,0.35,13,14.7%
Wayne Ellington,23.9,MIN,Wing,935,21,14.8%,27,98.3,13,5.7%,16,0.39,92,8.5%
Monta Ellis,26.0,GSW,Combo,1360,100,31.9%,44,102.8,82,29.5%,51,0.92,62,12.9%
Monta Ellis,26.0,MIL,Wing,752,97,26.1%,28,98.9,99,25.2%,93,0.96,52,11.8%
Semih Erden,25.3,CLE,Big,303,30,13.4%,41,103.8,36,5.4%,53,0.40,30,16.9%
Jeremy Evans,24.0,UTA,Forward,162,2,11.1%,75,111.1,54,9.2%,90,0.83,83,9.9%
Maurice Evans,33.0,WAS,Wing,318,18,14.2%,43,101.9,3,3.8%,3,0.26,96,7.8%
Reggie Evans,31.5,LAC,Big,739,4,9.2%,33,100.0,20,3.6%,52,0.39,1,29.0%
Tyreke Evans,22.1,SAC,Wing,2152,94,25.1%,49,103.0,93,21.9%,90,0.87,24,13.7%
Kenneth Faried,21.9,DEN,Big,996,55,16.5%,95,122.3,32,5.0%,29,0.30,67,12.7%
Jordan Farmar,24.9,BKN,Combo,796,69,24.1%,100,118.7,80,29.4%,84,1.22,31,15.9%
Derrick Favors,20.3,UTA,Big,1349,75,19.3%,52,106.6,35,5.4%,24,0.28,29,17.2%
Raymond Felton,27.3,POR,Point,1899,61,24.5%,47,99.3,70,32.0%,53,1.31,31,16.8%
Rudy Fernandez,26.6,DEN,Wing,685,48,17.8%,66,106.4,82,16.0%,91,0.90,32,13.1%
Landry Fields,23.3,NYK,Wing,1855,38,16.3%,37,100.5,72,14.0%,85,0.86,12,15.0%
Derek Fisher,37.2,LAL,Point,1100,6,15.1%,34,95.8,6,19.5%,52,1.30,41,16.0%
Derek Fisher,37.2,OKC,Point,361,5,15.0%,6,81.6,0,10.3%,0,0.69,97,9.7%
Jonny Flynn,22.7,POR,Point,270,75,26.1%,36,95.9,86,37.9%,75,1.45,27,17.9%
Gary Forbes,26.7,TOR,Wing,649,84,23.3%,35,100.4,78,14.6%,52,0.63,8,15.9%
T.J. Ford,28.6,SAS,Point,160,42,21.7%,41,97.4,75,34.2%,89,1.58,0,26.8%
Jeff Foster,34.8,IND,Big,140,5,9.5%,81,113.6,34,5.1%,71,0.53,8,24.1%
Randy Foye,28.1,LAC,Wing,1632,71,20.2%,53,103.2,71,13.9%,67,0.69,77,10.0%
Jimmer Fredette,22.7,SAC,Combo,1056,38,21.4%,36,100.0,24,15.6%,20,0.73,64,12.7%
Channing Frye,28.5,PHX,Big,1653,69,18.3%,40,103.7,66,7.8%,56,0.43,93,9.4%
Sundiata Gaines,25.5,BKN,Combo,723,58,23.5%,16,88.1,78,27.7%,80,1.18,53,13.7%
Danilo Gallinari,23.2,DEN,Forward,1347,75,20.9%,81,112.1,81,13.2%,67,0.63,71,10.9%
Francisco Garcia,29.8,SAC,Wing,770,13,13.3%,25,97.9,14,5.9%,24,0.45,91,8.6%
Kevin Garnett,35.5,BOS,Big,1855,92,23.7%,70,109.7,99,17.2%,89,0.73,79,11.6%
Marc Gasol,26.8,MEM,Big,2363,71,18.9%,60,108.1,94,13.8%,89,0.73,71,12.3%
Pau Gasol,31.3,LAL,Big,2425,84,21.6%,63,109.1,98,17.0%,92,0.79,71,12.2%
Rudy Gay,25.2,MEM,Forward,2415,90,24.5%,54,103.9,58,10.8%,38,0.44,54,12.4%
Alonzo Gee,24.4,CLE,Wing,1785,53,18.4%,57,104.0,53,11.1%,47,0.60,10,15.1%
Paul George,21.5,IND,Wing,1937,63,19.3%,78,110.6,68,13.2%,66,0.69,21,13.9%
Daniel Gibson,25.7,CLE,Wing,885,26,15.3%,23,96.5,69,13.2%,87,0.86,15,14.4%
Taj Gibson,26.4,CHI,Big,1199,60,17.4%,43,104.3,45,6.1%,40,0.35,65,12.8%
Manu Ginobili,34.3,SAS,Wing,787,91,24.6%,100,135.2,100,27.1%,98,1.10,11,15.0%
Mickell Gladness,25.3,GSW,Big,222,14,11.7%,11,88.5,5,2.0%,5,0.17,98,7.0%
Ryan Gomes,29.2,LAC,Forward,366,6,11.6%,4,77.3,13,4.4%,23,0.38,17,14.9%
Drew Gooden,30.1,MIL,Big,1462,94,25.0%,37,102.0,96,16.2%,85,0.65,63,13.1%
Ben Gordon,28.6,DET,Combo,1343,51,23.1%,84,111.7,38,17.4%,27,0.75,24,16.5%
Eric Gordon,22.9,NOP,Combo,303,96,29.2%,78,109.8,33,17.0%,9,0.58,73,12.1%
Marcin Gortat,27.7,PHX,Big,2108,63,17.9%,84,115.4,27,4.4%,19,0.25,84,10.8%
Andrew Goudelock,22.9,LAL,Combo,399,40,21.6%,31,97.6,0,8.1%,0,0.38,87,11.2%
Danny Granger,28.5,IND,Wing,2060,90,24.3%,76,109.4,43,9.0%,14,0.37,81,9.7%
Aaron Gray,26.9,TOR,Big,804,28,12.9%,48,105.5,39,5.5%,55,0.43,9,23.0%
Danny Green,24.4,SAS,Wing,1471,35,16.1%,92,116.6,35,8.3%,37,0.51,38,12.6%
Gerald Green,25.8,BKN,Forward,753,77,20.9%,92,116.8,42,8.0%,25,0.38,19,14.8%
Willie Green,30.3,ATL,Wing,784,41,17.0%,88,113.7,37,8.3%,33,0.49,87,9.0%
Donte Greene,23.7,SAC,Big,736,58,17.1%,24,96.4,53,6.6%,48,0.38,84,10.9%
Blake Griffin,22.6,LAC,Big,2383,96,25.3%,76,111.6,96,15.6%,83,0.62,80,11.4%
Hamed Haddadi,26.5,MEM,Big,184,50,16.2%,89,118.9,25,4.3%,22,0.27,5,25.6%
Jordan Hamilton,21.1,DEN,Wing,229,74,21.1%,20,94.9,51,10.5%,34,0.50,34,13.0%
Richard Hamilton,33.7,CHI,Wing,695,85,23.3%,41,101.2,91,19.0%,79,0.82,27,13.7%
Tyler Hansbrough,26.0,IND,Big,1371,77,19.6%,30,98.6,20,3.8%,9,0.20,86,10.5%
Luke Harangody,23.8,CLE,Big,173,42,14.9%,7,83.9,24,4.3%,26,0.29,97,7.2%
James Harden,22.2,OKC,Wing,1873,81,22.1%,99,133.0,89,18.8%,84,0.85,16,14.1%
Josh Harrellson,22.7,NYK,Big,475,32,13.5%,32,99.3,17,3.4%,21,0.25,76,11.9%
Al Harrington,31.7,DEN,Big,1751,89,22.7%,54,106.7,68,8.3%,45,0.36,68,12.7%
Devin Harris,28.7,UTA,Point,1738,48,22.2%,89,113.4,38,27.1%,38,1.22,64,14.4%
Manny Harris,22.1,CLE,Wing,391,66,19.6%,28,98.6,64,12.5%,57,0.64,31,13.2%
Terrel Harris,24.2,MIA,Combo,277,9,16.6%,4,76.6,16,13.3%,36,0.80,9,19.2%
Tobias Harris,19.3,MIL,Forward,403,50,17.1%,48,102.7,31,6.8%,31,0.40,35,13.4%
Udonis Haslem,31.4,MIA,Big,1548,24,12.5%,20,94.4,24,4.3%,39,0.34,51,14.2%
Spencer Hawes,23.5,PHI,Big,918,75,19.4%,42,104.1,98,17.0%,94,0.87,52,14.2%
Chuck Hayes,28.4,SAC,Big,1026,12,11.1%,14,91.4,81,10.9%,98,0.98,19,19.2%
Gordon Hayward,21.6,UTA,Wing,1999,50,18.0%,89,114.2,80,15.5%,86,0.86,23,13.7%
Brendan Haywood,31.9,DAL,Big,1143,15,11.8%,40,103.3,9,2.5%,11,0.21,35,15.9%
Gerald Henderson,23.9,CHA,Wing,1811,80,21.8%,56,103.8,67,13.2%,48,0.60,60,11.4%
Xavier Henry,20.6,NOP,Wing,721,46,17.7%,7,87.3,28,7.9%,23,0.44,35,12.7%
Roy Hibbert,24.9,IND,Big,1933,80,20.6%,59,107.9,75,9.2%,60,0.45,47,14.6%
JJ Hickson,23.2,POR,Big,595,79,19.9%,81,113.6,55,6.7%,37,0.34,78,11.6%
JJ Hickson,23.2,SAC,Big,620,53,16.4%,5,82.0,43,6.0%,44,0.36,30,17.0%
Cory Higgins,22.4,CHA,Combo,285,73,24.4%,9,83.3,22,15.2%,13,0.62,22,16.9%
Nene Hilario,29.1,DEN,Big,825,85,22.0%,73,110.6,89,12.4%,80,0.56,18,19.3%
Nene Hilario,29.1,WAS,Big,271,86,22.1%,98,125.8,89,12.4%,79,0.56,53,14.0%
George Hill,25.5,IND,Combo,1253,18,18.6%,96,113.7,47,19.6%,67,1.05,91,10.0%
Grant Hill,39.1,PHX,Forward,1376,58,18.2%,40,99.8,67,11.5%,73,0.63,69,11.4%
Jordan Hill,24.3,HOU,Big,438,50,16.2%,38,102.1,22,4.1%,20,0.25,39,15.6%
Kirk Hinrich,30.8,ATL,Combo,1211,0,15.0%,60,104.7,27,16.0%,71,1.07,49,15.0%
Jrue Holiday,21.4,PHI,Combo,2177,60,23.5%,36,100.0,58,21.5%,49,0.92,71,12.4%
Ryan Hollins,27.1,BOS,Big,147,11,10.9%,96,123.3,17,3.4%,32,0.32,7,24.2%
Ryan Hollins,27.1,CLE,Big,346,25,12.6%,50,106.2,6,2.4%,9,0.19,9,24.0%
Al Horford,25.4,ATL,Big,347,58,17.0%,91,119.3,83,11.3%,86,0.66,66,12.7%
Dwight Howard,25.9,ORL,Big,2063,94,24.9%,83,114.0,78,9.8%,51,0.39,34,15.9%
Josh Howard,31.5,UTA,Wing,972,67,19.8%,15,92.8,34,8.2%,20,0.41,42,12.4%
Juwan Howard,38.7,MIA,Big,118,72,19.0%,2,78.0,62,7.5%,50,0.39,17,19.8%
Lester Hudson,27.2,CLE,Combo,261,93,29.0%,36,100.0,62,21.8%,24,0.75,47,15.1%
Larry Hughes,32.8,ORL,Combo,102,4,16.3%,0,57.1,9,12.2%,22,0.75,0,35.3%
Kris Humphries,26.7,BKN,Big,2154,66,18.1%,52,106.6,60,7.3%,52,0.40,56,13.8%
Serge Ibaka,22.1,OKC,Big,1786,34,13.7%,75,111.3,7,2.4%,6,0.18,48,14.5%
Andre Iguodala,27.8,PHI,Wing,2194,68,20.0%,69,107.3,97,24.2%,100,1.21,43,12.4%
Ersan Ilyasova,24.5,MIL,Big,1643,63,17.9%,84,115.3,57,7.0%,48,0.39,81,11.2%
Kyrie Irving,19.6,CLE,Combo,1551,98,30.1%,98,115.0,93,32.2%,73,1.07,42,15.1%
Royal Ivey,29.9,OKC,Wing,264,0,9.0%,14,92.6,2,3.2%,12,0.35,100,3.9%
Jarrett Jack,28.0,NOP,Point,1526,77,26.2%,78,108.8,73,34.2%,55,1.31,86,12.4%
Reggie Jackson,21.5,OKC,Point,405,28,21.0%,9,82.6,11,20.7%,17,0.99,58,14.8%
Stephen Jackson,33.6,MIL,Wing,709,83,23.2%,13,92.6,87,18.2%,77,0.79,3,17.6%
Stephen Jackson,33.6,SAS,Wing,471,66,19.7%,72,108.6,62,12.0%,50,0.61,5,16.5%
Damion James,24.1,BKN,Forward,166,13,12.6%,13,87.2,2,3.2%,6,0.25,0,23.7%
LeBron James,26.8,MIA,Forward,2317,100,33.2%,94,121.5,100,31.8%,96,0.96,50,12.6%
Antawn Jamison,35.4,CLE,Forward,2146,85,23.9%,29,96.0,60,11.0%,44,0.46,96,7.8%
Al Jefferson,26.8,UTA,Big,2065,93,24.7%,42,103.9,84,11.4%,61,0.46,99,5.5%
Richard Jefferson,31.4,GSW,Forward,576,40,15.9%,69,108.2,52,9.1%,63,0.57,88,8.9%
Richard Jefferson,31.4,SAS,Wing,1152,16,13.6%,81,111.6,22,7.1%,39,0.52,85,9.2%
Jared Jeffries,29.9,NYK,Big,715,24,12.5%,23,95.5,39,5.5%,58,0.44,57,13.7%
Charles Jenkins,22.7,GSW,Point,852,47,22.1%,39,97.3,64,30.5%,66,1.38,70,14.1%
