Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,26.0,DEN,Wing,2077,31,-2.0%,13,-4.6%,21,-3.9%,95,+6.0%,63,+1.0%,63,+2.3%,90,+5.4%,89,+4.4%
Solomon Alabi,23.6,TOR,Big,105,32,-1.9%,51,-0.1%,5,-9.1%,6,-6.8%,2,-7.5%,100,+36.5%,4,-9.2%,90,+4.6%
LaMarcus Aldridge,26.3,POR,Big,1987,79,+2.1%,60,+0.8%,98,+9.4%,59,+0.6%,91,+3.9%,36,-2.7%,60,+1.1%,55,+0.2%
Lavoy Allen,22.7,PHI,Big,569,25,-2.5%,4,-7.0%,79,+3.4%,9,-5.6%,29,-1.9%,75,+4.2%,80,+3.5%,86,+3.6%
Ray Allen,36.3,BOS,Wing,1558,74,+1.6%,53,+0.1%,47,-0.3%,36,-1.1%,40,-0.9%,86,+7.5%,87,+4.7%,93,+5.3%
Tony Allen,29.8,MEM,Wing,1523,55,+0.2%,16,-3.7%,93,+7.1%,24,-2.6%,75,+2.0%,48,-0.5%,65,+1.4%,61,+0.8%
Al-Farouq Aminu,21.1,NOH,Forward,1436,46,-0.6%,77,+2.5%,51,+0.3%,24,-2.7%,34,-1.4%,32,-3.7%,41,-1.3%,30,-2.1%
Lou Amundson,28.9,IND,Big,650,12,-3.6%,33,-1.7%,4,-9.8%,3,-8.3%,1,-8.9%,87,+8.4%,63,+1.2%,84,+3.4%
Chris Andersen,33.3,DEN,Big,481,36,-1.4%,26,-2.5%,86,+4.9%,2,-9.8%,22,-3.1%,73,+3.9%,25,-3.2%,41,-1.2%
Alan Anderson,29.0,TOR,Wing,450,9,-4.5%,90,+4.3%,33,-1.9%,2,-10.0%,3,-7.0%,84,+6.5%,7,-7.6%,14,-4.7%
James Anderson,22.6,SAS,Wing,512,79,+2.0%,19,-3.4%,83,+4.1%,90,+4.3%,93,+4.2%,68,+3.2%,82,+3.7%,85,+3.5%
Ryan Anderson,23.5,ORL,Big,1956,93,+3.9%,74,+2.1%,42,-1.0%,66,+1.3%,56,+0.4%,27,-4.5%,60,+1.0%,52,-0.0%
Carmelo Anthony,27.4,NYK,Forward,1871,49,-0.2%,85,+3.4%,20,-4.0%,11,-5.1%,11,-4.6%,42,-1.9%,58,+0.7%,52,+0.0%
Joel Anthony,29.2,MIA,Big,1342,95,+4.3%,70,+1.7%,82,+4.1%,92,+4.7%,95,+4.5%,57,+1.0%,97,+9.1%,96,+6.3%
Gilbert Arenas,29.8,MEM,Point,210,53,+0.1%,83,+3.2%,13,-5.9%,90,+4.4%,44,-0.6%,53,+0.4%,32,-2.3%,34,-1.8%
Trevor Ariza,26.3,NOH,Wing,1346,67,+1.0%,24,-2.7%,62,+1.3%,90,+4.3%,85,+2.9%,60,+1.6%,46,-0.8%,54,+0.1%
Omer Asik,25.3,CHI,Big,874,20,-2.7%,14,-4.3%,35,-1.7%,10,-5.4%,14,-4.2%,96,+13.2%,34,-2.1%,75,+2.1%
D.J. Augustin,24.0,CHA,Point,1404,85,+2.7%,32,-1.8%,39,-1.3%,69,+1.6%,59,+0.7%,98,+15.8%,95,+7.0%,98,+8.5%
Gustavo Ayon,26.6,NOH,Big,1042,65,+0.8%,40,-1.0%,43,-1.0%,62,+0.8%,50,-0.1%,60,+1.5%,26,-2.9%,37,-1.5%
Luke Babbitt,22.4,POR,Forward,468,19,-2.8%,53,+0.2%,42,-1.1%,4,-7.9%,8,-5.1%,71,+3.7%,40,-1.4%,49,-0.4%
Leandro Barbosa,28.9,TOR,Combo,925,56,+0.3%,37,-1.5%,17,-4.7%,25,-2.6%,22,-3.1%,77,+4.5%,89,+5.1%,91,+4.9%
Leandro Barbosa,28.9,IND,Wing,413,6,-5.0%,9,-5.4%,0,-15.2%,0,-11.9%,0,-13.0%,76,+4.3%,91,+5.7%,93,+5.2%
J.J. Barea,27.3,MIN,Point,1022,62,+0.6%,14,-4.3%,45,-0.7%,68,+1.6%,48,-0.3%,82,+6.3%,75,+2.8%,86,+3.6%
Andrea Bargnani,26.0,TOR,Forward,1030,83,+2.4%,80,+2.8%,87,+5.3%,87,+3.9%,94,+4.4%,48,-0.5%,49,-0.4%,48,-0.4%
Matt Barnes,31.6,LAL,Wing,1429,80,+2.2%,45,-0.5%,83,+4.1%,70,+1.7%,85,+2.8%,70,+3.6%,55,+0.4%,68,+1.4%
Brandon Bass,26.5,BOS,Big,1850,84,+2.6%,50,-0.1%,41,-1.1%,96,+6.2%,91,+4.0%,66,+2.7%,78,+3.2%,83,+3.4%
Tony Battie,35.7,PHI,Big,286,42,-0.9%,71,+1.8%,22,-3.7%,53,+0.1%,33,-1.5%,81,+5.7%,35,-1.9%,50,-0.2%
Shane Battier,33.1,MIA,Wing,1451,14,-3.1%,13,-4.5%,46,-0.3%,41,-0.6%,45,-0.5%,64,+2.4%,3,-10.1%,8,-5.8%
Nicolas Batum,22.9,POR,Wing,1747,71,+1.3%,27,-2.3%,73,+2.4%,68,+1.6%,74,+1.9%,32,-3.7%,90,+5.2%,77,+2.3%
Jerryd Bayless,23.2,TOR,Combo,684,79,+2.0%,53,+0.1%,33,-1.8%,45,-0.5%,39,-1.0%,82,+6.3%,94,+6.5%,96,+6.4%
Michael Beasley,22.8,MIN,Forward,1043,39,-1.2%,37,-1.4%,84,+4.3%,77,+2.7%,87,+3.1%,39,-2.4%,17,-4.4%,20,-3.7%
Rodrigue Beaubois,23.7,DAL,Combo,1069,87,+2.9%,76,+2.5%,83,+4.2%,76,+2.5%,88,+3.4%,71,+3.7%,57,+0.6%,66,+1.3%
Marco Belinelli,25.6,NOH,Combo,1944,60,+0.5%,34,-1.6%,45,-0.7%,81,+3.3%,70,+1.6%,87,+8.2%,43,-1.2%,68,+1.5%
Raja Bell,35.1,UTA,Wing,794,77,+1.9%,69,+1.6%,55,+0.7%,79,+3.0%,72,+1.8%,74,+4.2%,90,+5.3%,91,+4.9%
Mike Bibby,33.5,NYK,Point,522,32,-1.8%,46,-0.5%,2,-11.1%,72,+2.0%,27,-2.2%,51,-0.0%,65,+1.4%,63,+1.0%
Andris Biedrins,25.6,GSW,Big,737,56,+0.3%,78,+2.6%,33,-1.9%,51,-0.1%,42,-0.7%,93,+10.9%,19,-4.0%,65,+1.3%
Chauncey Billups,35.1,LAC,Combo,605,54,+0.1%,24,-2.7%,19,-4.5%,66,+1.3%,43,-0.7%,57,+1.1%,62,+1.1%,64,+1.1%
Bismack Biyombo,19.2,CHA,Big,1377,34,-1.6%,29,-2.0%,13,-5.9%,33,-1.4%,24,-2.8%,15,-8.9%,76,+2.9%,61,+0.9%
DeJuan Blair,22.5,SAS,Big,1319,12,-3.7%,9,-5.5%,61,+1.3%,68,+1.6%,69,+1.5%,13,-9.6%,65,+1.4%,30,-2.2%
Steve Blake,31.7,LAL,Point,1234,47,-0.6%,22,-3.0%,53,+0.4%,76,+2.6%,71,+1.6%,79,+4.7%,15,-5.1%,31,-2.0%
Andray Blatche,25.2,WAS,Big,623,15,-3.1%,21,-3.1%,17,-4.8%,41,-0.6%,27,-2.1%,57,+1.1%,24,-3.3%,34,-1.8%
Eric Bledsoe,21.9,LAC,Combo,431,52,+0.0%,59,+0.7%,48,-0.2%,44,-0.5%,47,-0.4%,58,+1.2%,39,-1.4%,48,-0.5%
Andrew Bogut,26.9,MIL,Big,363,62,+0.6%,97,+7.3%,55,+0.7%,12,-5.0%,26,-2.5%,52,+0.2%,22,-3.5%,25,-2.6%
Matt Bonner,31.6,SAS,Big,1299,97,+4.7%,94,+5.4%,70,+2.1%,18,-3.8%,41,-0.8%,83,+6.3%,74,+2.6%,85,+3.6%
Trevor Booker,23.9,WAS,Big,1243,76,+1.7%,67,+1.5%,77,+3.2%,48,-0.3%,66,+1.2%,58,+1.1%,84,+4.0%,82,+3.0%
Carlos Boozer,29.9,CHI,Big,1946,72,+1.3%,75,+2.2%,70,+2.1%,91,+4.5%,90,+3.7%,34,-3.3%,54,+0.3%,46,-0.7%
Chris Bosh,27.6,MIA,Big,1977,96,+4.5%,98,+7.8%,68,+1.9%,56,+0.3%,62,+1.0%,92,+10.4%,84,+3.9%,95,+6.2%
Earl Boykins,35.4,HOU,Point,110,8,-4.5%,3,-8.6%,69,+2.0%,92,+4.6%,89,+3.5%,2,-21.5%,83,+3.7%,14,-4.8%
Avery Bradley,20.9,BOS,Combo,1300,70,+1.2%,72,+2.0%,55,+0.7%,81,+3.2%,81,+2.6%,39,-2.2%,27,-2.9%,29,-2.3%
Elton Brand,32.6,PHI,Big,1728,67,+1.0%,84,+3.2%,49,-0.1%,82,+3.3%,73,+1.8%,18,-7.7%,66,+1.5%,46,-0.6%
Corey Brewer,25.7,DEN,Wing,1245,43,-0.9%,40,-1.1%,31,-2.1%,60,+0.7%,43,-0.7%,50,-0.2%,15,-5.1%,23,-3.0%
Ronnie Brewer,26.6,CHI,Wing,1585,66,+0.9%,91,+4.6%,90,+5.9%,22,-3.2%,50,-0.1%,50,-0.2%,42,-1.2%,44,-0.9%
Jon Brockman,24.6,MIL,Big,169,16,-3.0%,28,-2.1%,69,+2.1%,46,-0.4%,57,+0.5%,22,-6.0%,11,-5.9%,7,-6.0%
MarShon Brooks,22.8,NJN,Wing,1611,40,-1.1%,88,+3.8%,61,+1.2%,20,-3.6%,32,-1.8%,25,-5.1%,26,-3.0%,20,-3.6%
Derrick Brown,24.1,CHA,Forward,1292,50,-0.1%,59,+0.7%,57,+0.9%,60,+0.7%,60,+0.8%,52,+0.1%,27,-2.9%,27,-2.4%
Kwame Brown,29.6,GSW,Big,186,18,-2.9%,35,-1.6%,88,+5.5%,37,-1.0%,71,+1.7%,1,-26.5%,25,-3.2%,1,-10.7%
Shannon Brown,25.9,PHX,Wing,1309,27,-2.4%,28,-2.1%,41,-1.2%,8,-5.7%,15,-3.8%,73,+4.0%,47,-0.7%,55,+0.4%
Kobe Bryant,33.2,LAL,Wing,2228,47,-0.6%,80,+2.8%,43,-0.9%,81,+3.2%,66,+1.2%,33,-3.5%,18,-4.4%,17,-4.1%
Chase Budinger,23.4,HOU,Wing,1268,51,-0.0%,59,+0.7%,58,+0.9%,30,-1.8%,46,-0.4%,78,+4.5%,38,-1.6%,61,+0.8%
Alec Burks,20.3,UTA,Wing,884,15,-3.1%,25,-2.6%,12,-6.3%,23,-2.9%,11,-4.6%,7,-12.9%,22,-3.6%,10,-5.5%
Caron Butler,31.6,LAC,Wing,1866,90,+3.3%,58,+0.7%,82,+4.0%,88,+4.1%,92,+4.1%,68,+3.3%,60,+0.9%,71,+1.7%
Jimmy Butler,22.1,CHI,Wing,269,20,-2.7%,16,-4.0%,77,+3.2%,74,+2.3%,82,+2.6%,18,-8.0%,3,-9.8%,3,-9.3%
Rasual Butler,32.4,TOR,Wing,439,13,-3.2%,70,+1.7%,1,-13.0%,44,-0.5%,12,-4.4%,24,-5.2%,45,-0.9%,30,-2.2%
Andrew Bynum,24.0,LAL,Big,2109,63,+0.7%,96,+6.3%,8,-7.7%,25,-2.6%,9,-5.0%,59,+1.5%,61,+1.1%,64,+1.2%
Will Bynum,28.8,DET,Point,450,14,-3.2%,69,+1.6%,36,-1.6%,1,-11.7%,3,-7.2%,28,-4.4%,38,-1.6%,28,-2.4%
Jose Calderon,30.1,TOR,Point,1789,71,+1.3%,63,+1.0%,85,+4.6%,69,+1.7%,80,+2.5%,4,-14.9%,78,+3.2%,38,-1.4%
Marcus Camby,37.6,POR,Big,891,77,+1.8%,64,+1.2%,54,+0.6%,49,-0.3%,51,-0.1%,46,-0.9%,71,+2.0%,59,+0.7%
Marcus Camby,37.6,HOU,Big,458,72,+1.3%,47,-0.4%,79,+3.4%,21,-3.4%,45,-0.5%,72,+3.9%,97,+9.0%,97,+7.0%
Brian Cardinal,34.5,DAL,Forward,213,5,-5.5%,3,-7.9%,78,+3.4%,82,+3.3%,88,+3.4%,20,-6.7%,2,-11.2%,2,-10.0%
DeMarre Carroll,25.3,UTA,Wing,318,74,+1.6%,81,+2.9%,27,-2.7%,32,-1.6%,27,-2.3%,23,-5.8%,99,+11.3%,98,+8.2%
Matt Carroll,31.2,CHA,Wing,455,48,-0.4%,35,-1.6%,67,+1.9%,41,-0.6%,53,+0.1%,98,+15.9%,28,-2.8%,68,+1.4%
Anthony Carter,36.4,TOR,Point,187,16,-3.0%,74,+2.2%,44,-0.8%,30,-1.8%,34,-1.5%,18,-7.6%,1,-11.5%,1,-10.4%
Vince Carter,34.8,DAL,Wing,1507,93,+3.8%,46,-0.4%,63,+1.4%,63,+1.0%,67,+1.3%,88,+8.5%,96,+7.3%,98,+7.6%
Omri Casspi,23.4,CLE,Forward,1261,45,-0.6%,25,-2.6%,62,+1.4%,78,+2.8%,77,+2.1%,40,-2.1%,25,-3.2%,24,-2.9%
Mario Chalmers,25.5,MIA,Point,1795,86,+2.7%,96,+6.1%,60,+1.2%,54,+0.2%,59,+0.7%,80,+5.1%,32,-2.3%,56,+0.4%
Tyson Chandler,29.1,NYK,Big,2055,45,-0.6%,90,+4.4%,70,+2.1%,21,-3.3%,33,-1.6%,29,-4.1%,21,-3.8%,18,-3.9%
Wilson Chandler,24.5,DEN,Forward,210,68,+1.1%,54,+0.2%,67,+1.7%,37,-1.0%,53,+0.2%,95,+13.0%,79,+3.4%,92,+5.1%
Josh Childress,28.4,PHX,Wing,443,13,-3.4%,22,-3.0%,8,-7.7%,47,-0.4%,16,-3.5%,2,-20.0%,46,-0.8%,10,-5.3%
Earl Clark,23.8,ORL,Big,499,5,-5.7%,26,-2.3%,7,-7.7%,59,+0.7%,22,-3.0%,75,+4.2%,28,-2.8%,33,-1.8%
Norris Cole,23.0,MIA,Point,1143,9,-4.4%,11,-5.1%,17,-4.8%,19,-3.8%,13,-4.2%,20,-6.9%,55,+0.4%,30,-2.2%
Jason Collins,32.9,ATL,Big,265,51,-0.1%,73,+2.0%,95,+7.6%,14,-4.5%,39,-1.0%,78,+4.7%,58,+0.7%,79,+2.6%
Darren Collison,24.2,IND,Point,1870,85,+2.6%,75,+2.2%,92,+6.6%,72,+1.9%,93,+4.2%,89,+9.2%,37,-1.7%,68,+1.4%
Nick Collison,31.0,OKC,Big,1249,85,+2.6%,17,-3.6%,70,+2.1%,65,+1.1%,69,+1.5%,90,+9.4%,74,+2.5%,88,+4.1%
Mike Conley,24.1,MEM,Point,2167,89,+3.0%,64,+1.2%,91,+6.2%,55,+0.2%,86,+3.0%,95,+11.8%,83,+3.8%,95,+5.8%
Brian Cook,30.9,WAS,Big,124,83,+2.4%,97,+6.6%,28,-2.6%,60,+0.7%,43,-0.7%,0,-41.0%,97,+7.9%,41,-1.2%
Daequan Cook,24.5,OKC,Wing,917,58,+0.4%,62,+0.9%,11,-6.4%,91,+4.5%,50,-0.1%,28,-4.4%,68,+1.7%,60,+0.8%
DeMarcus Cousins,21.2,SAC,Big,1922,35,-1.5%,13,-4.4%,6,-8.9%,72,+2.1%,19,-3.3%,43,-1.7%,62,+1.2%,56,+0.4%
Jamal Crawford,31.6,POR,Combo,1580,37,-1.2%,19,-3.3%,14,-5.7%,89,+4.1%,57,+0.5%,59,+1.5%,40,-1.3%,54,+0.1%
Jordan Crawford,23.0,WAS,Wing,1713,77,+1.9%,82,+3.0%,79,+3.4%,75,+2.4%,82,+2.7%,52,+0.2%,11,-5.9%,17,-4.1%
Dante Cunningham,24.5,MEM,Big,1080,44,-0.7%,85,+3.4%,46,-0.6%,66,+1.4%,56,+0.4%,5,-14.0%,26,-3.1%,8,-5.8%
Stephen Curry,23.6,GSW,Point,728,87,+2.8%,55,+0.2%,70,+2.1%,89,+4.2%,87,+3.2%,91,+9.6%,54,+0.2%,82,+3.2%
Samuel Dalembert,31.5,HOU,Big,1432,55,+0.2%,29,-2.0%,40,-1.2%,96,+6.3%,81,+2.6%,19,-7.2%,66,+1.5%,41,-1.2%
Marquis Daniels,30.8,BOS,Wing,440,33,-1.8%,55,+0.3%,5,-9.1%,58,+0.6%,16,-3.7%,74,+4.2%,68,+1.7%,76,+2.2%
Baron Davis,32.6,NYK,Point,584,97,+4.8%,88,+3.9%,90,+5.9%,61,+0.8%,83,+2.7%,86,+7.6%,78,+3.2%,89,+4.4%
Ed Davis,22.4,TOR,Big,1459,20,-2.7%,20,-3.2%,30,-2.2%,38,-1.0%,35,-1.3%,62,+2.2%,14,-5.1%,22,-3.3%
Glen Davis,25.8,ORL,Big,1395,14,-3.2%,18,-3.4%,91,+6.0%,49,-0.2%,78,+2.4%,36,-2.7%,42,-1.2%,36,-1.6%
Austin Daye,23.4,DET,Wing,494,4,-5.7%,40,-1.0%,19,-4.3%,3,-8.2%,5,-6.6%,27,-4.5%,11,-5.9%,9,-5.7%
DeMar DeRozan,22.2,TOR,Wing,2180,83,+2.5%,97,+7.2%,79,+3.4%,73,+2.2%,80,+2.5%,40,-2.1%,45,-0.9%,41,-1.2%
Carlos Delfino,29.2,MIL,Wing,1517,54,+0.1%,63,+1.1%,56,+0.7%,45,-0.5%,52,+0.0%,21,-6.3%,67,+1.5%,47,-0.5%
Luol Deng,26.5,CHI,Wing,2114,58,+0.4%,57,+0.6%,3,-10.4%,77,+2.7%,32,-1.8%,22,-5.9%,96,+7.2%,84,+3.4%
Boris Diaw,29.5,CHA,Forward,1007,52,-0.0%,63,+1.1%,85,+4.4%,24,-2.8%,43,-0.7%,3,-16.3%,59,+0.8%,31,-2.1%
Boris Diaw,29.5,SAS,Big,366,88,+2.9%,27,-2.3%,92,+6.5%,83,+3.5%,96,+5.1%,85,+7.0%,58,+0.7%,81,+2.9%
DeSagana Diop,29.8,CHA,Big,300,7,-4.8%,0,-11.5%,27,-2.8%,20,-3.4%,20,-3.3%,97,+15.7%,74,+2.7%,91,+4.9%
Keyon Dooling,31.5,BOS,Combo,629,30,-2.2%,83,+3.2%,71,+2.3%,9,-5.6%,21,-3.2%,29,-4.1%,30,-2.6%,22,-3.3%
Toney Douglas,25.6,NYK,Combo,617,17,-3.0%,80,+2.8%,59,+1.1%,4,-8.1%,11,-4.6%,64,+2.5%,18,-4.1%,26,-2.5%
Goran Dragic,25.5,HOU,Combo,1707,80,+2.2%,82,+3.0%,91,+6.2%,16,-4.1%,60,+0.8%,70,+3.6%,34,-1.9%,57,+0.6%
Jared Dudley,26.3,PHX,Wing,2009,94,+4.1%,91,+4.4%,93,+7.1%,95,+5.7%,98,+6.3%,29,-4.2%,54,+0.3%,45,-0.8%
Chris Duhon,29.2,ORL,Point,1199,34,-1.6%,36,-1.5%,34,-1.8%,44,-0.5%,36,-1.2%,94,+11.4%,46,-0.8%,70,+1.6%
Tim Duncan,35.5,SAS,Big,1630,11,-3.8%,58,+0.7%,16,-5.0%,39,-0.7%,23,-2.8%,50,-0.2%,29,-2.7%,36,-1.6%
Mike Dunleavy,31.1,MIL,Wing,1403,56,+0.3%,31,-1.9%,19,-4.4%,85,+3.6%,57,+0.5%,70,+3.7%,48,-0.7%,57,+0.5%
Kevin Durant,23.1,OKC,Forward,2535,11,-3.8%,20,-3.3%,40,-1.3%,31,-1.7%,32,-1.7%,31,-3.8%,43,-1.0%,29,-2.3%
Jerome Dyson,24.5,NOH,Point,178,2,-7.0%,1,-9.6%,15,-5.1%,1,-10.5%,1,-8.2%,44,-1.7%,79,+3.4%,78,+2.4%
Devin Ebanks,22.0,LAL,Wing,377,42,-0.9%,23,-3.0%,85,+4.5%,23,-3.1%,59,+0.7%,23,-5.7%,71,+2.0%,50,-0.3%
Wayne Ellington,23.9,MIN,Wing,935,65,+0.8%,93,+5.1%,10,-6.6%,61,+0.7%,26,-2.4%,63,+2.4%,59,+0.8%,63,+1.1%
Monta Ellis,26.0,GSW,Combo,1360,29,-2.3%,23,-2.8%,79,+3.4%,29,-2.0%,58,+0.6%,16,-8.3%,13,-5.4%,11,-5.1%
Monta Ellis,26.0,MIL,Wing,752,18,-2.9%,17,-3.6%,14,-5.7%,71,+1.8%,33,-1.5%,10,-10.6%,43,-1.1%,22,-3.4%
Semih Erden,25.3,CLE,Big,303,38,-1.2%,60,+0.8%,18,-4.7%,15,-4.3%,12,-4.5%,88,+8.5%,33,-2.2%,52,+0.0%
Jeremy Evans,24.0,UTA,Forward,162,13,-3.2%,79,+2.7%,21,-3.8%,12,-5.1%,10,-4.7%,1,-22.4%,50,-0.2%,9,-5.7%
Maurice Evans,33.0,WAS,Wing,318,82,+2.4%,49,-0.2%,48,-0.2%,93,+4.9%,79,+2.4%,11,-10.1%,99,+13.2%,91,+4.9%
Reggie Evans,31.5,LAC,Big,739,7,-4.9%,2,-8.9%,27,-2.9%,58,+0.4%,44,-0.6%,25,-4.9%,66,+1.4%,46,-0.6%
Tyreke Evans,22.1,SAC,Wing,2152,65,+0.8%,88,+3.8%,13,-5.8%,23,-2.9%,13,-4.3%,46,-0.9%,63,+1.2%,58,+0.6%
Kenneth Faried,21.9,DEN,Big,996,31,-2.0%,28,-2.1%,38,-1.4%,67,+1.5%,52,+0.1%,28,-4.4%,82,+3.7%,62,+1.0%
Jordan Farmar,24.9,NJN,Combo,796,72,+1.3%,78,+2.6%,29,-2.3%,47,-0.4%,38,-1.1%,78,+4.6%,58,+0.7%,72,+1.8%
Derrick Favors,20.3,UTA,Big,1349,30,-2.2%,27,-2.3%,22,-3.8%,18,-3.9%,15,-3.8%,37,-2.6%,16,-4.6%,16,-4.2%
Raymond Felton,27.3,POR,Point,1899,88,+2.9%,74,+2.2%,88,+5.4%,45,-0.5%,72,+1.7%,77,+4.5%,64,+1.4%,74,+2.0%
Rudy Fernandez,26.6,DEN,Wing,685,71,+1.3%,76,+2.4%,85,+4.6%,84,+3.6%,91,+4.0%,83,+6.4%,5,-8.6%,18,-3.9%
Landry Fields,23.3,NYK,Wing,1855,89,+3.0%,78,+2.6%,57,+0.9%,59,+0.6%,58,+0.6%,16,-8.2%,88,+4.9%,70,+1.6%
Derek Fisher,37.2,LAL,Point,1100,32,-1.9%,28,-2.1%,51,+0.3%,48,-0.3%,52,-0.0%,19,-7.4%,18,-4.3%,11,-5.2%
Derek Fisher,37.2,OKC,Point,361,98,+5.3%,72,+1.9%,67,+1.7%,89,+4.2%,93,+4.1%,95,+12.2%,53,+0.1%,88,+3.9%
Jonny Flynn,22.7,POR,Point,270,86,+2.7%,96,+6.4%,52,+0.3%,64,+1.0%,61,+0.9%,61,+2.1%,52,+0.0%,58,+0.6%
Gary Forbes,26.7,TOR,Wing,649,41,-1.0%,6,-6.2%,58,+1.0%,76,+2.5%,76,+2.1%,98,+17.5%,9,-6.7%,49,-0.4%
T.J. Ford,28.6,SAS,Point,160,90,+3.1%,100,+9.3%,1,-13.2%,100,+8.9%,25,-2.6%,55,+0.6%,67,+1.6%,68,+1.4%
Jeff Foster,34.8,IND,Big,140,14,-3.2%,18,-3.4%,3,-10.7%,11,-5.2%,2,-7.2%,93,+11.3%,54,+0.3%,84,+3.4%
Randy Foye,28.1,LAC,Wing,1632,48,-0.4%,54,+0.2%,59,+1.1%,26,-2.3%,37,-1.1%,31,-3.8%,69,+1.8%,53,+0.1%
Jimmer Fredette,22.7,SAC,Combo,1056,49,-0.3%,30,-1.9%,86,+4.8%,80,+3.1%,91,+3.9%,41,-2.0%,34,-2.0%,31,-2.0%
Channing Frye,28.5,PHX,Big,1653,100,+7.2%,99,+8.5%,92,+6.2%,92,+4.8%,96,+5.4%,66,+2.7%,94,+6.5%,94,+5.5%
Sundiata Gaines,25.5,NJN,Combo,723,43,-0.9%,3,-7.5%,24,-3.2%,98,+7.1%,89,+3.4%,80,+5.2%,51,-0.1%,66,+1.3%
Danilo Gallinari,23.2,DEN,Forward,1347,69,+1.1%,61,+0.8%,82,+4.0%,22,-3.2%,55,+0.3%,38,-2.5%,82,+3.7%,69,+1.5%
Francisco Garcia,29.8,SAC,Wing,770,29,-2.2%,38,-1.3%,82,+4.0%,27,-2.2%,61,+0.9%,13,-9.3%,25,-3.2%,12,-4.9%
Kevin Garnett,35.5,BOS,Big,1855,84,+2.6%,76,+2.3%,74,+2.6%,87,+3.9%,90,+3.6%,13,-9.4%,94,+6.5%,61,+0.8%
Marc Gasol,26.8,MEM,Big,2363,81,+2.3%,79,+2.7%,73,+2.3%,36,-1.1%,58,+0.5%,99,+18.7%,71,+2.0%,96,+6.2%
Pau Gasol,31.3,LAL,Big,2425,38,-1.2%,86,+3.4%,12,-6.2%,60,+0.7%,25,-2.7%,30,-3.9%,44,-1.0%,34,-1.8%
Rudy Gay,25.2,MEM,Forward,2415,39,-1.2%,68,+1.6%,40,-1.2%,10,-5.4%,18,-3.4%,51,+0.1%,66,+1.4%,59,+0.7%
Alonzo Gee,24.4,CLE,Wing,1785,41,-1.0%,69,+1.6%,31,-2.2%,17,-4.0%,22,-3.1%,54,+0.4%,60,+0.9%,60,+0.8%
